"Trainer_ID","Trainer_Name","Specialization","XP_Years","Branch_ID"
"T01","Aarav Sharma","Strength Training","1","B02"
"T02","Priya Verma","Weight Loss","7","B05"
"T03","Rohan Gupta","Personal Training","6","B05"
"T04","Sneha Iyer","Cardio Conditioning","15","B07"
"T05","Aditya Singh","Functional Training","1","B12"
"T06","Neha Kapoor","Weight Loss","4","B11"
"T07","Karan Mehta","Cardio Conditioning","6","B05"
"T08","Pooja Nair","Personal Training","1","B06"
"T09","Rahul Das","Bodybuilding","4","B05"
"T10","Anjali Mishra","Yoga","9","B09"
"T11","Vikram Joshi","Strength Training","1","B07"
"T12","Kavya Reddy","Weight Loss","13","B09"
"T13","Arjun Yadav","Weight Loss","3","B07"
"T14","Meera Pillai","Personal Training","13","B01"
"T15","Siddharth Jain","Strength Training","3","B12"
"T16","Ishita Chatterjee","Cardio Conditioning","15","B08"
"T17","Manish Agarwal","Personal Training","15","B07"
"T18","Swati Kulkarni","HIIT","2","B11"
"T19","Nikhil Bansal","Personal Training","7","B10"
"T20","Divya Sinha","Personal Training","11","B11"
"T21","Amit Trivedi","Yoga","8","B08"
"T22","Ritu Saxena","Strength Training","7","B05"
"T23","Varun Malhotra","Weight Loss","10","B04"
"T24","Shreya Patil","Strength Training","6","B09"
"T25","Deepak Tiwari","Bodybuilding","11","B11"
"T26","Ananya Ghosh","Functional Training","9","B06"
"T27","Sandeep Choudhary","Cardio Conditioning","4","B03"
"T28","Tanvi Deshmukh","Yoga","3","B03"
"T29","Gaurav Arora","Yoga","5","B01"
"T30","Rashmi Pandey","Personal Training","9","B02"
"T31","Harsh Vardhan","Yoga","6","B10"
"T32","Simran Kaur","Cardio Conditioning","14","B10"
"T33","Akash Thakur","Strength Training","4","B01"
"T34","Nisha Dubey","Yoga","2","B06"
"T35","Rajat Bhatt","HIIT","2","B01"
"T36","Payal Bhatia","Functional Training","15","B07"
"T37","Mohit Khanna","Cardio Conditioning","5","B04"
"T38","Komal Sawant","Weight Loss","1","B08"
"T39","Abhishek Pawar","Zumba","14","B01"
"T40","Aarti Srivastava","Weight Loss","8","B02"
"T41","Yash Rajput","Strength Training","13","B03"
"T42","Pallavi Naidu","Zumba","3","B09"
"T43","Hemant Shukla","Zumba","1","B05"
"T44","Riya Banerjee","Cardio Conditioning","14","B12"
"T45","Rakesh Shetty","Personal Training","6","B12"
"T46","Monika Luthra","Zumba","3","B12"
"T47","Sameer Kohli","Weight Loss","13","B06"
"T48","Preeti Chavan","Bodybuilding","3","B09"
"T49","Ashish Solanki","Zumba","13","B08"
"T50","Bhavna Rawat","Yoga","4","B07"
"T51","Tarun Chauhan","Functional Training","9","B10"
"T52","Nandini Roy","Personal Training","5","B03"
"T53","Kunal Soni","Cardio Conditioning","1","B02"
"T54","Rekha Mondal","Personal Training","3","B04"
"T55","Pradeep Negi","Bodybuilding","11","B02"
"T56","Sonal Bhandari","Yoga","14","B12"
"T57","Rohit Shekhawat","HIIT","6","B09"
"T58","Madhuri Jha","Rehabilitation","15","B11"
"T59","Alok Tripathi","Personal Training","1","B09"
"T60","Juhi Talwar","Functional Training","5","B09"
"T61","Vinayak Patwardhan","Zumba","6","B10"
"T62","Priti Sengupta","Functional Training","14","B04"
"T63","Lokesh Dahiya","Weight Loss","5","B10"
"T64","Suman Khatri","Cardio Conditioning","2","B09"
"T65","Ajay Parmar","Bodybuilding","10","B01"
"T66","Isha Bhattacharya","Zumba","8","B07"
"T67","Chirag Vyas","Zumba","10","B02"
"T68","Seema Purohit","Strength Training","12","B08"
"T69","Dinesh Rathore","Functional Training","11","B08"
"T70","Namrata Kulshreshtha","Yoga","8","B05"
"T71","Vivek Kaushik","Personal Training","1","B08"
"T72","Rupali Wagh","Yoga","3","B11"
"T73","Ankit Baghel","Bodybuilding","1","B08"
"T74","Sakshi Dongre","Cardio Conditioning","6","B06"
"T75","Rajeev Tomar","Yoga","5","B02"
"T76","Geeta Salvi","Functional Training","6","B05"
"T77","Naveen Lodhi","Functional Training","9","B03"
"T78","Shalini Borah","Functional Training","10","B11"
"T79","Uday Kanwar","Weight Loss","5","B03"
"T80","Kritika Mankad","Functional Training","3","B01"
"T81","Tejas Borde","HIIT","10","B02"
"T82","Mansi Karmakar","Strength Training","13","B10"
"T83","Pankaj Bhadoria","Strength Training","15","B11"
"T84","Ruchi Narang","Strength Training","10","B06"
"T85","Devendra Khedekar","Bodybuilding","15","B12"
"T86","Ayush Kharge","Cardio Conditioning","8","B01"
"T87","Punit Singh","Weight Loss","13","B12"
"T88","Arjan Singh","Zumba","11","B11"
"T89","Shubhdeep Kaur","Functional Training","9","B02"
"T90","Shubhangi Atre","Cardio Conditioning","9","B11"
"T91","Somya Singh","Zumba","1","B03"
"T92","Monica Thakral","Weight Loss","15","B01"
"T93","Paresh Dhull","HIIT","13","B05"
"T94","Hritik Sharma","Strength Training","3","B04"
